colonia_geo,alcaldia_geo,n_listings,precio_promedio,ingreso_anual_promedio,ocupacion_promedio,dist_transporte_promedio,tasa_crimen,reviews_promedio,score_precio,score_ocupacion,score_seguridad,score_transporte,score_total
contadero,cuajimalpa de morelos,11,1236.09090909091,312118,0.638356164383562,0.228099025204765,0.000329098927137498,160.545454545455,0.557239860143784,2.55505521183189,0.340645352169576,-0.163434669654577,0.969130658095702
polanco,miguel hidalgo,518,2960.02702702703,322937.131274131,0.289517110065055,0.205369031654821,0.00342262884222997,55.034749034749,4.03947549097489,-0.271796203990415,-0.994129785924575,-0.0474547591390397,0.92198687708262
bosque de chapultepec i seccion,miguel hidalgo,25,3197.52,197146.44,0.165917808219178,0.267532777189434,0.000921476995984993,41.44,4.51919540864132,-1.27339524255062,0.0850501129600574,-0.364645594612584,0.917820953496705
hipodromo condesa,cuauhtemoc,468,2177.09401709402,267160.591880342,0.335938414705538,0.112507607055636,0.000592378068847496,57.9059829059829,2.45800318734537,0.104383381187143,0.227047468076456,0.426371143701352,0.899399692915314
ampliacion granada,miguel hidalgo,316,2081.31329113924,284622.522151899,0.38148950927692,0.226266835610257,0.000658197854274995,47.5506329113924,2.26453252842913,0.473511133906592,0.198647997053177,-0.154085912702597,0.830325515570834
paseo de las lomas,cuajimalpa de morelos,28,818.285714285714,177917.107142857,0.605577299412916,0.109601236085066,6.58197854274995e-05,20.1785714285714,-0.286698683146771,2.28942847163693,0.454243236262695,0.441200916721352,0.779907767143857
pedregal de la zorra,coyoacan,20,1785.8,160059.05,0.369452054794521,0.110696828779987,0.000197459356282499,38.85,1.66761544949398,0.375964443462352,0.397444294216136,0.435610649287301,0.779684956587588
condesa,cuauhtemoc,966,2093.63043478261,258672.324016563,0.322955841061857,0.113822038680375,0.00118475613769499,82.4503105590062,2.28941233459988,-0.000822174874678057,-0.0285477711330616,0.419664249487723,0.764800343588493
bosques de tetlameya,coyoacan,5,663.8,145273,0.630684931506849,0.0879997716557338,0.000197459356282499,19.8,-0.598749491261485,2.49289062546985,0.397444294216136,0.551422501519145,0.758015699409564
moderna,iztacalco,10,907.8,184836.9,0.595616438356164,0.161210319176254,6.58197854274995e-05,59.3,-0.10588581430575,2.20870965924336,0.454243236262695,0.177865301356888,0.757268861005198
pedregal del maurel,coyoacan,5,863.6,183228.4,0.642739726027397,0.240465784264422,0.000197459356282499,76.8,-0.19516685742642,2.5905778326102,0.397444294216136,-0.226536122189294,0.752804926960503
hipodromo,miguel hidalgo,273,1830.58241758242,226483.358974359,0.317948717948718,0.0832686163217512,6.58197854274995e-05,40.2490842490843,1.75807293716873,-0.041397887044362,0.454243236262695,0.575563246260876,0.720963811542024
altavista,alvaro obregon,9,1974.22222222222,265295.333333333,0.328158295281583,0.19892566686479,6.58197854274995e-05,33.8888888888889,2.04821573336536,0.0413364220333293,0.454243236262695,-0.0145774567269354,0.714798802526758
lomas de sotelo,miguel hidalgo,5,1253,209744.8,0.490958904109589,0.111098157498985,0.000724017639702495,40.6,0.591395092600478,1.36060708816117,0.170248526029897,0.433562867407625,0.706362932915999
villa tlalpan,tlalpan,6,1076,193202,0.501369863013699,0.0818692083165321,0.000131639570854999,41.5,0.233866933497342,1.44497331250966,0.425843765239416,0.582703732898649,0.705361573429714
lomas axomiatla,alvaro obregon,6,403.333333333333,94879.1666666667,0.652511415525114,0.0533560387711916,6.58197854274995e-05,17.5,-1.12487473330139,2.66976367476186,0.454243236262695,0.728192329061977,0.699953795503074
acasulco,coyoacan,15,694.266666666667,142249,0.60675799086758,0.120840456353705,0.000131639570854999,33.7333333333333,-0.537208862745427,2.29899632038823,0.425843765239416,0.383852736742461,0.690475537689216
granada,miguel hidalgo,260,1991.28076923077,242306.311538462,0.329241306638567,0.0869938195688757,0.00184295399196999,76.4615384615385,2.08267285714468,0.0501127105536119,-0.312542481365862,0.556555377283511,0.688638249493017
santa cruz de las salinas,azcapotzalco,24,972.25,238885.791666667,0.601826484018265,0.292044934237829,0.000131639570854999,23.9166666666667,0.0242988741360412,2.25903337201263,0.425843765239416,-0.489719003664326,0.672224626159619
rincon del bosque,miguel hidalgo,225,1922.77777777778,226937.048888889,0.292334855403349,0.1116466175147,0.000329098927137498,65.9244444444445,1.94430139710374,-0.24896232888276,0.340645352169576,0.430764347319875,0.662883660364185
mariano escobedo,miguel hidalgo,103,1706.60194174757,213757.805825243,0.323340869796516,0.0649763795732836,0.000263279141709998,46.5242718446602,1.5076406699938,0.00229794315748803,0.369044823192856,0.668899479575446,0.660570444499046
tlacamaca,gustavo a madero,10,1080.5,159046.1,0.508219178082192,0.137856834799261,0.000263279141709998,30.5,0.242956632457592,1.50047740747577,0.369044823192856,0.297026577065928,0.656244492031766
fraccionamiento coyuya,iztacalco,7,1186.57142857143,254459.714285714,0.496673189823875,0.149916633237561,0.000592378068847496,47.7142857142857,0.457213822234894,1.40691336167576,0.227047468076456,0.235491392701002,0.651745927328687
prado coapa 2a seccion,tlalpan,16,1078.125,241895.375,0.517123287671233,0.177931917790804,0.000197459356282499,24.125,0.238159291339682,1.57263273093172,0.397444294216136,0.0925432573039111,0.641235116985429
barrio santa catarina,coyoacan,57,1959.50877192982,165329.859649123,0.313145878394617,0.183823181025885,0.000724017639702495,60.5438596491228,2.01849554807103,-0.0803181674011657,0.170248526029897,0.0624830559524731,0.627999530597432
barrio oxtopulco universidad,coyoacan,7,1654.85714285714,102866.428571429,0.381213307240705,0.135272330652012,0.00111893635226749,37.8571428571429,1.40311963784432,0.47127290367559,-0.000148300109781487,0.310214022942953,0.624330907022607
hipodromo,cuauhtemoc,1342,2204.15871833085,265990.206408346,0.315905518241022,0.0937526114706098,0.00368590798393997,55.6363636363636,2.5126720732769,-0.0579551558335188,-1.1077276700177,0.522068606390513,0.619283262507577
lomas de santa fe,cuajimalpa de morelos,80,1821.85,219193.3875,0.322602739726027,0.117306862432789,0.000921476995984993,45.2375,1.74043403783109,-0.00368356610585038,0.0850501129600574,0.401882918134532,0.61841174773649
centro urbano benito juarez,cuauhtemoc,367,1548.62397820164,198510.114441417,0.337180396401777,0.0808634843486675,0.000197459356282499,46.4850136239782,1.18853575199695,0.114447901409217,0.397444294216136,0.587835444684663,0.58795104380201
