alcaldia_clean,colonia_clean,genero_delito_de_bajo_impacto_tasa,genero_violación_tasa,genero_homicidio_doloso_tasa,genero_lesiones_dolosas_por_disparo_de_arma_de_fuego_tasa,genero_secuestro_tasa,genero_total_tasa
alvaro obregon,panteon santa fe,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,paraiso,0.000993459723487044,0,0,0,0,0.000948691596173611
alvaro obregon,paraje del caballito,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,parque las aguilas,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,paseo de las lomas,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,pez,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,pilares aguilas,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,piloto adolfo lopez mateos,0.00103485387863234,0.00102040816326531,0,0,0,0.00102774922918808
alvaro obregon,piru santa lucia,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,poder popular merced gomez,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,polvora,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,ponciano arriaga,0.00012418246543588,0.00102040816326531,0,0,0,0.000158115266028935
alvaro obregon,preconcreto,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,presidentes,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,progreso,0.00103485387863234,0.00204081632653061,0,0,0,0.00106727804569531
alvaro obregon,progreso tizapan,0.000662306482324696,0.00102040816326531,0,0,0,0.000671989880622974
alvaro obregon,pueblo nuevo,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,pueblo santa fe,0.000910671413196457,0,0.0101010101010101,0,0,0.000909162779666377
alvaro obregon,puente colorado,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,puerta grande,0,0.00102040816326531,0,0,0,3.95288165072338e-05
alvaro obregon,puerta grande reacomodo,0.000289759086017054,0,0,0,0,0.000276701715550636
alvaro obregon,punta de cehuaya,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,reacomodo belen de las flores,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,reacomodo pino suarez,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,real del monte,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,rincon de la bolsa,8.2788310290587e-05,0,0,0.0181818181818182,0,0.000118586449521701
alvaro obregon,rinconada las cuevitas,0.000372547396307641,0.00102040816326531,0,0,0,0.000395288165072338
alvaro obregon,sacramento,0.000206970775726467,0,0,0,0,0.000197644082536169
alvaro obregon,san angel,0.000745094792615283,0.00102040816326531,0,0,0,0.000751047513637442
alvaro obregon,san angel inn,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,san bartolo ameyalco,0.00211110191240997,0.00102040816326531,0.0101010101010101,0,0,0.00209502727488339
alvaro obregon,san clemente norte,0.000538124016888815,0,0,0,0,0.000513874614594039
alvaro obregon,san clemente sur,0.000289759086017054,0,0,0,0,0.000276701715550636
alvaro obregon,san jeronimo aculco,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,san jose del olivar,0.00012418246543588,0.00102040816326531,0,0,0,0.000158115266028935
alvaro obregon,san pedro de los pinos,0.000869277258051163,0.00102040816326531,0,0,0,0.000869633963159143
alvaro obregon,santa fe,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,santa fe imss,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,santa fe infonavit,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,santa lucia,0.000620912327179402,0.00306122448979592,0,0,0,0.000711518697130208
alvaro obregon,santa lucia chantepec,0.000496729861743522,0,0,0,0,0.000474345798086805
alvaro obregon,santa lucia reacomodo,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,santa maria nonoalco,0.000331153241162348,0,0.0101010101010101,0,0,0.000355759348565104
alvaro obregon,santa rosa xochiac,0.000910671413196457,0.00408163265306122,0.0101010101010101,0,0,0.00106727804569531
alvaro obregon,tecolalco,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,tempranillo,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,tepopotla,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,tetelpan,0.000662306482324696,0,0,0,0,0.00063246106411574
alvaro obregon,tizampampano del pueblo tetelpan,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,tizapan,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,tlacopac,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,tlacoyaque,0.000372547396307641,0.00306122448979592,0,0,0,0.000474345798086805
alvaro obregon,tlacuitlapa,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,tlapechico,0.000289759086017054,0,0,0,0,0.000276701715550636
alvaro obregon,tolteca,0.00082788310290587,0.00102040816326531,0,0,0,0.000830105146651909
alvaro obregon,torres de potrero,0.00153158374037586,0.00102040816326531,0,0,0,0.00150209502727488
alvaro obregon,valentin gomez farias,0.000206970775726467,0.00102040816326531,0,0,0,0.000237172899043403
alvaro obregon,villa progresista,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,villa verdun,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,zedec santa fe,0.000703700637469989,0.00306122448979592,0,0,0,0.000790576330144676
alvaro obregon,zenon delgado,0.000538124016888815,0,0,0,0,0.000513874614594039
azcapotzalco,aguilera,0.000206970775726467,0,0,0,0,0.000197644082536169
azcapotzalco,aldana,0.000786488947760576,0.00102040816326531,0,0,0,0.000790576330144676
azcapotzalco,ampliacion cosmopolita,0.000289759086017054,0,0,0,0,0.000276701715550636
azcapotzalco,ampliacion del gas,0.000662306482324696,0.00102040816326531,0,0,0,0.000671989880622974
azcapotzalco,ampliacion petrolera,0.000372547396307641,0,0,0,0,0.000355759348565104
