ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y,
12623,9966793,FDS-5,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,10/05/2025,GREGORIO TORRES QUINTERO,SIN REGISTRO,EL GAVILÁN,IZTAPALAPA,IZP-4,-99.07591619,19.35860698,
12624,9966801,UAT-BJ-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,ENRIQUE REBSAMEN,SIN REGISTRO,NARVARTE,BENITO JUAREZ,BJ-3,-99.15912911,19.39336474,
12625,9966802,AEJPA,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,20/04/2025,SUR 95 B,NO SE ESPECIFICA,SECTOR POPULAR,IZTAPALAPA,IZP-1,-99.12095611,19.36521145,
12626,9966808,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,09/05/2025,ALBENIZ,NO SE ESPECIFICA,GUADALUPE VICTORIA,GUSTAVO A MADERO,GAM-3,-99.14019844,19.47038088,
12627,9966817,FDS-6,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ACOSO SEXUAL,09/05/2025,NORTE 29,NO SE ESPECIFICA,MOCTEZUMA 2A SECCIÓN,VENUSTIANO CARRANZA,VC-2,-99.09523666,19.43428506,
12628,9966818,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,16/04/2015,MONTECITO,NO SE ESPECIFICA,NAPOLES,BENITO JUAREZ,BJ-1,-99.17463816,19.39649373,
12629,9966822,UAT-MIL-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,CERRADA 16 DE SEPTIEMBRE,NO SE ESPECIFICA,CRUZTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,MIL-2,-98.99662057,19.21196291,
12630,9966824,UAT-TLP-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,LACANDONES,CHONCHOS,PEDREGAL DE LAS ÁGUILAS,TLALPAN,TLP-2,-99.17821028,19.27189269,
12631,9966857,CJM-TLP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,16/03/2025,EJE 8 SUR AV POPOCATEPETL,NO SE ESPECIFICA,SANTA CRUZ ATOYAC,BENITO JUAREZ,BJ-4,-99.15998725,19.36474986,
12632,9966881,UAT-VC-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,02/05/2025,RECREO,NO SE ESPECIFICA,SANTA CRUZ AVIACIÓN,VENUSTIANO CARRANZA,VC-4,-99.09846774,19.42151699,
12633,9966884,IZP-8,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,RIO ATOYAC,NO SE ESPECIFICA,PUENTE BLANCO,IZTAPALAPA,IZP-8,-99.06626448,19.3257174,
12634,9966886,UAT-AO-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,OAXACA,NO SE ESPECIFICA,MIGUEL HIDALGO 2A SECCIÓN,TLALPAN,TLP-2,-99.19270169,19.28452577,
12635,9966889,UAT-AO-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,CENTENARIO,NO SE ESPECIFICA,LOMAS DE PLATEROS,ALVARO OBREGON,AO-1,-99.21016754,19.36749756,
12636,9966897,CUH-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,MONTE DE PIEDAD,5 DE MAYO,CENTRO,CUAUHTEMOC,CUH-6,-99.13416135,19.43223637,
12637,9966899,UAT-AZ-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,DEL ROSARIO,NO SE ESPECIFICA,SANTA BÁRBARA,AZCAPOTZALCO,AZ-1,-99.18139242,19.49564531,
12638,9966901,UAT-BJ-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,GALICIA,NO SE ESPECIFICA,ÁLAMOS,BENITO JUAREZ,BJ-3,-99.14338918,19.39731127,
12639,9966906,CJM-TLP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,TEPONAXTLI,NO SE ESPECIFICA,ADOLFO RUIZ CORTINES,COYOACAN,COY-4,-99.15791139,19.31852229,
12640,9966931,UAT-IZC-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,2a CDA SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO XICALTONGO,IZTACALCO,IZC-1,-99.12531908,19.39529069,
12641,9966935,FDS-5,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA POR CONOCIDO,10/05/2025,37,NO SE ESPECIFICA,SANTA CRUZ MEYEHUALCO,IZTAPALAPA,IZP-5,-99.04068858,19.35042058,
12642,9966946,IZP-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,TENIENTE MARIO FERNANDO LOPEZ PORTILLO,ATANACIO G SARABIA,ESCUADRÓN 201,IZTAPALAPA,IZP-1,-99.11267165,19.35934512,
12643,9966947,TLP-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,11/05/2025,SINANCHE,NO SE ESPECIFICA,PEDREGAL DE SAN NICOLÁS 1A SECCIÓN,TLALPAN,TLP-1,-99.23008432,19.29295557,
12644,9966953,CJM-AZ,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,FRANCISCO JAVIER MINA,SAN PEDRO XALPA,SAN PEDRO XALPA,AZCAPOTZALCO,AZ-2,-99.21274268,19.48518973,
12645,9966954,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,CLZ IGNACIO ZARAGOZA,NO SE ESPECIFICA,UNIDAD EJÉRCITO CONSTITUCIONALISTA,IZTAPALAPA,IZP-6,-99.04741346,19.38933682,
