ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y
7289,9969240,UAT-BJ-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/05/2025,CERRADA REVOLUCION,SIN REGISTRO,8 DE AGOSTO,BENITO JUAREZ,BJ-1,-99.18604687,19.3950761
7290,9969245,B,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,13/05/2025,IGNACIO MANUEL ALTAMIRANO,PLAN DE SAN LUIS,CARLOS HANK GONZALEZ,IZTAPALAPA,IZP-9,-99.04770926,19.33408923
7291,9969256,2,ALTO IMPACTO,HOMICIDIO DOLOSO,HOMICIDIO POR ARMA BLANCA,14/05/2025,TOPACIO,JOSE LANZ,ESPERANZA,CUAUHTEMOC,CUH-8,-99.1287978,19.41795073
7292,9969260,GAM-4,ALTO IMPACTO,ROBO A TRANSPORTISTA CON Y SIN VIOLENCIA,ROBO A TRANSPORTISTA Y VEHICULO PESADO CON VIOLENCIA,14/05/2025,FERROCARRIL INDUSTRIAL,NORTE 50,EMILIANO ZAPATA,GUSTAVO A MADERO,GAM-7,-99.11951669,19.45998602
7293,9969267,UAT-AZ-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,08/05/2025,JACARANDAS,ALMENDROS,EL ROSARIO,AZCAPOTZALCO,AZ-1,-99.20354828,19.5069722
7294,9969268,UAT-IZP-5,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,12/05/2025,TLAHUAC,NO SE ESPECIFICA,EL VERGEL,IZTAPALAPA,IZP-7,-99.08052485,19.31944865
7295,9969275,MH-5,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,14/05/2025,CONSTITUYENTES,CAMINO A LOS TOROS,AMÉRICA,MIGUEL HIDALGO,MH-5,-99.20092151,19.40696665
7296,9969285,MC-2,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,14/05/2025,SAN JERONIMO,ENTRE SAN BERNABE Y DEL ROSAL,EL ROSAL,LA MAGDALENA CONTRERAS,MC-1,-99.24787916,19.30692426
7297,9969307,AO-2,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,14/05/2025,29,ESQUINA MIGUEL HIDALGO,OLIVAR DEL CONDE 2A SECCIÓN,ALVARO OBREGON,AO-1,-99.21922948,19.37137368
7298,9969325,UAT-IZC-2,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,13/05/2025,SECCION ZURCO,CORTEZA,INFONAVIT IZTACALCO,IZTACALCO,IZC-2,-99.10932228,19.3826661
7299,9969341,UAT-CUH-1,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PÚBLICO CON VIOLENCIA,14/05/2025,CALZADA DE LOS MISTERIOS,ESQUINA CON MOTZAR,PERALVILLO,CUAUHTEMOC,CUH-1,-99.12889034,19.45834533
7300,9969343,COY-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,14/05/2025,CAFETALES,SANTA ANA,SAN FRANCISCO CULHUACAN,COYOACAN,COY-5,-99.10975143,19.32845273
7301,9969375,UAT-TLP-1,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,10/05/2025,8,ESQUINA CON PICACHO AJUSCO,MIGUEL HIDALGO 4A SECCIÓN,TLALPAN,TLP-1,-99.20995742,19.27625074
7302,9969381,FDS-7,ALTO IMPACTO,VIOLACIÓN,VIOLACION,13/05/2025,PRIMERA CERRADA NOGAL,SIN REGISTRO,SANTA MARIA LA RIBERA,CUAUHTEMOC,CUH-2,-99.16402997,19.45370336
7303,9969382,CU,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,13/05/2025,CIRCUITO ESCOLAR,SIN REGISTRO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,COYOACAN,COY-1,-99.18620646,19.33483966
7304,9969391,UAT-BJ-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,13/05/2025,FERNANDO,NO SE ESPECIFICA,ÁLAMOS,BENITO JUAREZ,BJ-3,-99.13967282,19.39971226
7305,9969412,UAT-IZC-2,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,10/02/2025,1RA PRIVADA DE CAFETAL,SIN REGISTRO,GRANJAS MÉXICO,IZTACALCO,IZC-2,-99.09253299,19.39777053
7306,9969418,IZP-8,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,09/05/2025,AVENIDA TLAHUAC,NO SE ESPECIFICA,LAS ARBOLEDAS,TLAHUAC,TLH-1,-99.05475676,19.30279492
7307,9969431,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,01/05/2025,PICO,SIN REGISTRO,LOS PICOS DE IZTACALCO SECCIÓN 1A,IZTACALCO,IZC-1,-99.11599892,19.390117
7308,9969434,UAT-VC-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,12/05/2025,RETORNO 7 DE CECILIO ROBELO,SIN REGISTRO,JARDÍN BALBUENA,VENUSTIANO CARRANZA,VC-3,-99.11261536,19.42145867
7309,9969452,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,11/05/2025,CAMINO A LAS MINAS,NO SE ESPECIFICA,SAN FRANCISCO TLALTENCO,TLAHUAC,TLH-2,-99.01968822,19.30307717
7310,9969495,UAT-GAM-2,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,12/05/2025,PERLILLAR,CALLE 8,PROGRESO NACIONAL,GUSTAVO A MADERO,GAM-2,-99.16225702,19.51914212
7311,9969499,UAT-COY-5,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,13/05/2025,CALZADA DEL HUESO,CALZADA DEL HUESO,CAMPESTRE COYOACÁN,COYOACAN,COY-5,-99.11901444,19.30208865
7312,9969507,CUH-4,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,13/05/2025,SANTO TOMAS,REPUBLICA DE URUGUAY,CENTRO,CUAUHTEMOC,CUH-4,-99.12654072,19.42968404
7313,9969523,UAT-MIL-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,12/05/2025,CUAUHTEMOC,NO SE ESPECIFICA,OCOTITLA (SAN PEDRO ATOCPAN),MILPA ALTA,MIL-1,-99.05126989,19.19050282
